timestamp,site_id,site_type,site_name,consumption_kwh,consumption_euros,temperature_celsius,humidity_percent,solar_irradiance_wm2,hour,day_of_week,day_name,month,is_weekend,is_working_hours
2023-01-01 00:00:00,SITE002,factory,Usine de Production,408.4,61.26,10.2,70.8,0.0,0,6,Sunday,1,1,0
2023-01-01 01:00:00,SITE002,factory,Usine de Production,356.21,53.43,11.5,71.6,0.0,1,6,Sunday,1,1,0
2023-01-01 02:00:00,SITE002,factory,Usine de Production,442.73,66.41,10.2,79.0,106.0,2,6,Sunday,1,1,0
2023-01-01 03:00:00,SITE002,factory,Usine de Production,361.71,54.26,7.8,82.1,0.0,3,6,Sunday,1,1,0
2023-01-01 04:00:00,SITE002,factory,Usine de Production,358.06,53.71,14.6,71.2,0.0,4,6,Sunday,1,1,0
2023-01-01 05:00:00,SITE002,factory,Usine de Production,367.63,55.15,13.4,70.4,45.8,5,6,Sunday,1,1,0
2023-01-01 06:00:00,SITE002,factory,Usine de Production,370.17,55.53,17.4,70.3,30.7,6,6,Sunday,1,1,1
2023-01-01 07:00:00,SITE002,factory,Usine de Production,363.21,54.48,18.5,68.6,218.3,7,6,Sunday,1,1,1
2023-01-01 08:00:00,SITE002,factory,Usine de Production,377.96,56.69,21.5,71.2,380.7,8,6,Sunday,1,1,1
2023-01-01 09:00:00,SITE002,factory,Usine de Production,245.89,36.88,18.9,70.7,491.5,9,6,Sunday,1,1,1
2023-01-01 10:00:00,SITE002,factory,Usine de Production,465.77,69.87,24.3,72.2,671.8,10,6,Sunday,1,1,1
2023-01-01 11:00:00,SITE002,factory,Usine de Production,311.66,46.75,20.6,69.7,830.0,11,6,Sunday,1,1,1
2023-01-01 12:00:00,SITE002,factory,Usine de Production,341.63,51.25,21.8,70.0,810.7,12,6,Sunday,1,1,1
2023-01-01 13:00:00,SITE002,factory,Usine de Production,217.28,32.59,22.6,61.9,985.4,13,6,Sunday,1,1,1
2023-01-01 14:00:00,SITE002,factory,Usine de Production,392.78,58.92,21.2,69.6,906.7,14,6,Sunday,1,1,1
2023-01-01 15:00:00,SITE002,factory,Usine de Production,401.01,60.15,18.8,67.6,806.8,15,6,Sunday,1,1,1
2023-01-01 16:00:00,SITE002,factory,Usine de Production,365.05,54.76,17.0,66.8,796.1,16,6,Sunday,1,1,1
2023-01-01 17:00:00,SITE002,factory,Usine de Production,386.48,57.97,16.6,69.8,502.6,17,6,Sunday,1,1,1
2023-01-01 18:00:00,SITE002,factory,Usine de Production,393.37,59.01,14.8,66.3,394.7,18,6,Sunday,1,1,1
2023-01-01 19:00:00,SITE002,factory,Usine de Production,329.13,49.37,11.0,68.1,250.5,19,6,Sunday,1,1,1
2023-01-01 20:00:00,SITE002,factory,Usine de Production,362.64,54.4,13.7,62.9,11.6,20,6,Sunday,1,1,1
2023-01-01 21:00:00,SITE002,factory,Usine de Production,380.74,57.11,9.9,70.0,0.0,21,6,Sunday,1,1,1
2023-01-01 22:00:00,SITE002,factory,Usine de Production,360.04,54.01,8.2,68.7,62.5,22,6,Sunday,1,1,0
2023-01-01 23:00:00,SITE002,factory,Usine de Production,351.85,52.78,12.1,70.1,71.2,23,6,Sunday,1,1,0
2023-01-02 00:00:00,SITE002,factory,Usine de Production,338.62,50.79,11.8,72.5,24.9,0,0,Monday,1,0,0
2023-01-02 01:00:00,SITE002,factory,Usine de Production,306.24,45.94,11.1,70.2,0.0,1,0,Monday,1,0,0
