timestamp,site_id,site_type,site_name,consumption_kwh,consumption_euros,temperature_celsius,humidity_percent,solar_irradiance_wm2,hour,day_of_week,day_name,month,is_weekend,is_working_hours
2023-01-01 00:00:00,SITE004,retail,Centre Commercial,178.84,26.83,9.4,62.7,0.0,0,6,Sunday,1,1,0
2023-01-01 01:00:00,SITE004,retail,Centre Commercial,144.04,21.61,9.9,73.1,37.8,1,6,Sunday,1,1,0
2023-01-01 02:00:00,SITE004,retail,Centre Commercial,166.46,24.97,12.6,70.2,0.0,2,6,Sunday,1,1,0
2023-01-01 03:00:00,SITE004,retail,Centre Commercial,0.0,0.0,12.0,63.2,0.0,3,6,Sunday,1,1,0
2023-01-01 04:00:00,SITE004,retail,Centre Commercial,0.0,0.0,10.9,67.3,25.5,4,6,Sunday,1,1,0
2023-01-01 05:00:00,SITE004,retail,Centre Commercial,0.0,0.0,16.6,65.7,0.0,5,6,Sunday,1,1,0
2023-01-01 06:00:00,SITE004,retail,Centre Commercial,0.0,0.0,14.0,78.7,4.2,6,6,Sunday,1,1,0
2023-01-01 07:00:00,SITE004,retail,Centre Commercial,0.0,0.0,18.4,73.4,61.5,7,6,Sunday,1,1,0
2023-01-01 08:00:00,SITE004,retail,Centre Commercial,70.12,10.52,17.1,62.0,419.0,8,6,Sunday,1,1,0
2023-01-01 09:00:00,SITE004,retail,Centre Commercial,141.28,21.19,15.8,,605.9,9,6,Sunday,1,1,1
2023-01-01 10:00:00,SITE004,retail,Centre Commercial,252.58,37.89,23.0,60.1,862.9,10,6,Sunday,1,1,1
2023-01-01 11:00:00,SITE004,retail,Centre Commercial,345.69,51.85,20.6,73.2,882.0,11,6,Sunday,1,1,1
2023-01-01 12:00:00,SITE004,retail,Centre Commercial,306.29,45.94,19.4,75.9,819.2,12,6,Sunday,1,1,1
2023-01-01 13:00:00,SITE004,retail,Centre Commercial,334.47,50.17,21.9,66.3,907.7,13,6,Sunday,1,1,1
2023-01-01 14:00:00,SITE004,retail,Centre Commercial,786.06,117.91,22.9,79.2,877.3,14,6,Sunday,1,1,1
2023-01-01 15:00:00,SITE004,retail,Centre Commercial,842.58,126.39,17.1,67.2,756.2,15,6,Sunday,1,1,1
2023-01-01 16:00:00,SITE004,retail,Centre Commercial,888.48,133.27,15.2,64.2,636.0,16,6,Sunday,1,1,1
2023-01-01 17:00:00,SITE004,retail,Centre Commercial,314.62,47.19,17.9,79.3,530.6,17,6,Sunday,1,1,1
2023-01-01 18:00:00,SITE004,retail,Centre Commercial,311.29,46.69,12.6,72.2,352.4,18,6,Sunday,1,1,1
2023-01-01 19:00:00,SITE004,retail,Centre Commercial,351.69,52.75,13.2,68.5,209.6,19,6,Sunday,1,1,1
2023-01-01 20:00:00,SITE004,retail,Centre Commercial,282.9,42.43,13.4,67.1,83.3,20,6,Sunday,1,1,1
2023-01-01 21:00:00,SITE004,retail,Centre Commercial,153.24,22.99,10.1,73.3,19.3,21,6,Sunday,1,1,0
2023-01-01 22:00:00,SITE004,retail,Centre Commercial,110.31,16.55,10.3,62.6,22.4,22,6,Sunday,1,1,0
2023-01-01 23:00:00,SITE004,retail,Centre Commercial,107.95,16.19,7.7,82.8,73.9,23,6,Sunday,1,1,0
2023-01-02 00:00:00,SITE004,retail,Centre Commercial,172.36,25.85,11.0,78.6,12.0,0,0,Monday,1,0,0
2023-01-02 01:00:00,SITE004,retail,Centre Commercial,145.19,21.78,8.3,64.6,0.0,1,0,Monday,1,0,0
2023-01-02 02:00:00,SITE004,retail,Centre Commercial,167.13,25.07,10.5,67.9,59.4,2,0,Monday,1,0,0
2023-01-02 03:00:00,SITE004,retail,Centre Commercial,148.85,22.33,11.6,78.9,22.7,3,0,Monday,1,0,0
2023-01-02 04:00:00,SITE004,retail,Centre Commercial,141.41,21.21,16.1,68.0,0.0,4,0,Monday,1,0,0
2023-01-02 05:00:00,SITE004,retail,Centre Commercial,133.67,20.05,14.0,70.3,101.9,5,0,Monday,1,0,0
2023-01-02 06:00:00,SITE004,retail,Centre Commercial,140.03,21.0,12.5,67.2,38.4,6,0,Monday,1,0,0
2023-01-02 07:00:00,SITE004,retail,Centre Commercial,166.54,24.98,16.0,63.5,199.6,7,0,Monday,1,0,0
2023-01-02 08:00:00,SITE004,retail,Centre Commercial,106.72,16.01,20.0,75.6,422.1,8,0,Monday,1,0,0
2023-01-02 09:00:00,SITE004,retail,Centre Commercial,154.87,23.23,18.0,71.5,518.1,9,0,Monday,1,0,1
2023-01-02 10:00:00,SITE004,retail,Centre Commercial,0.0,0.0,16.8,75.3,730.5,10,0,Monday,1,0,1
2023-01-02 11:00:00,SITE004,retail,Centre Commercial,0.0,0.0,15.3,72.1,826.7,11,0,Monday,1,0,1
2023-01-02 12:00:00,SITE004,retail,Centre Commercial,388.25,58.24,13.8,66.6,869.0,12,0,Monday,1,0,1
2023-01-02 13:00:00,SITE004,retail,Centre Commercial,314.04,47.11,19.2,61.8,944.6,13,0,Monday,1,0,1
